Guard,Bozja,50 Bozjan Clusters
High Five,Skybuilders,1,800 Skybuilders' Scrips
Lali Hop,Beast Tribe,8 Hammered Frogments
Bee's Knees,Purchase,80,000 MGP
Flame Dance,Event,Moonfire Faire (2020)
Consider,Event,The Make It Rain Campaign (2020)
Insist,Skybuilders,1,800 Skybuilders' Scrips
Read A Book,Skybuilders,1,800 Skybuilders' Scrips
Eat Bread,Skybuilders,900 Skybuilders' Scrips
Snap,Premium,Mog Station
Goobbue Do,Premium,Mog Station
Heel Toe,Premium,Mog Station
Headache,Other,Maudlin Latool Ja - Ul'dah - 400 Allied Seals (60 BLU)
Lean,Skybuilders,1800 Skybuilders' Scrips
Toast,Premium,Mog Station
Lali-ho,Quest,Learning to Lali-ho
Manderville Mambo,Quest,Don't Do The Dewprism
Fist Pump,Eureka,Moisture-warped Lockbox - Eureka Hydatos
Gratuity,Quest,What A Wonder-full World
Senor Sabotender,Event,The Make It Rain Campaign (2019)
Senor Sabotender,Premium,Mog Station
Reprimand,Purchase,15,000 Wolf Marks
Scheme,Eureka,Heat-warped Lockbox - Eureka Pyros
Popoto Step,Premium,Mog Station
Get Fantasy,Premium,Mog Station
Ultima,Premium,Item code included with Meister Quality Figure Ultima, the High Seraph
Tomestone,Other,Available if registered in the Companion app
Endure,Quest,The Call
Confirm,Treasure Hunt,The Lost Canals Of Uznair
Confirm,Treasure Hunt,The Hidden Canals Of Uznair
Confirm,Treasure Hunt,The Shifting Altars Of Uznair
Hum,Quest,The Fire-bird Down Below
Side Step,Premium,Mog Station
Box Step,Premium,Mog Station
Shiver,Eureka,Cold-warped Lockbox - Eureka Pagos
Sweat,Deep Dungeon,Confederate Custodian - Crick - 10 Empyrean Potsherds
Ponder,Quest,Emissary Of The Dawn
Elucidate,Purchase,15,000 Wolf Marks
Splash,Event,Moonfire Faire (2018)
Splash,Premium,Mog Station
Yol Dance,Beast Tribe,Gyosho - Dhoro Iloh - 8 Namazu Koban
Crimson Lotus,Premium,Mog Station
Megaflare,Premium,Mog Station
Greeting,Quest,Tidings From The East
Aback,Purchase,Kasumi - The Gold Saucer - 5,000 Gil
Winded,Purchase,Eschina - Rhalgr's Reach - 6 Mythic Clan Mark Logs
Tremble,Purchase,Eschina - Rhalgr's Reach - 6 Mythic Clan Mark Logs
Power Up,Premium,Mog Station
Reflect,Purchase,10,000 Company Seals
Big Grin,Purchase,20,000 MGP
Cheer Jump,Premium,Mog Station
Cheer Jump,Event,A Colorful Affair
Cheer Wave,Premium,Mog Station
Cheer Wave,Event,A Colorful Affair
Cheer On,Premium,Mog Station
Cheer On,Event,A Colorful Affair
Charmed,Beast Tribe,Madhura - Castellum Velodyna - 5 Ananta Dreamstaffs
Ritual Prayer,Beast Tribe,Shikitahe - Tamamizu - 3 Kojin Sango
Box,Quest,Arenvald's Adventure
At Ease,Purchase,40,000 Company Seals
Attention,Purchase,40,000 Company Seals
Breath Control,Achievement,Dear Leader I
Sit-ups,Achievement,Dear Leader I
Push-ups,Achievement,Dear Leader I
Squats,Achievement,Dear Leader I
Pretty Please,Premium,Mog Station
Diamond Dust,Premium,Item code included with Meister Quality Figure Shiva
Eastern Bow,Quest,Confederate Consternation
Water Flip,Quest,In Soroban We Trust
Eastern Dance,Premium,Mog Station
Eastern Stretch,Premium,Mog Station
Songbird,Event,Little Ladies' Day (2017)
Songbird,Premium,Mog Station
Spectacles,Quest,Letters From No One
Dote,Event,Valentione's Day (2017)
Dote,Premium,Mog Station
Moonlift Dance,Quest,Eternity, Loyalty, Honesty
Play Dead,Premium,Mog Station
Backflip,Premium,Mog Station
Zantetsuken,Premium,Item code included with Meister Quality Figure Odin
Eastern Greeting,Premium,Mog Station
Yellow Ranger Pose B,Event,Moonfire Faire (2016)
Yellow Ranger Pose B,Premium,Mog Station
Black Ranger Pose B,Event,Moonfire Faire (2016)
Black Ranger Pose B,Premium,Mog Station
Red Ranger Pose B,Event,Moonfire Faire (2016)
Red Ranger Pose B,Premium,Mog Station
Yellow Ranger Pose A,Event,Moonfire Faire (2016)
Yellow Ranger Pose A,Premium,Mog Station
Black Ranger Pose A,Event,Moonfire Faire (2016)
Black Ranger Pose A,Premium,Mog Station
Red Ranger Pose A,Event,Moonfire Faire (2016)
Red Ranger Pose A,Premium,Mog Station
Haurchefant,Quest,The Burdens We Bear
Moogle Dance,Quest,Piecing Together The Past
Eureka,Event,The Make It Rain Campaign (2016)
Eureka,Premium,Mog Station
Victory,Quest,A Spectacle For The Ages
Battle Stance,Quest,Causes And Costs
Sundrop Dance,Quest,Sundrop the Beat
Gold Dance,Purchase,80,000 MGP
Thavnairian Dance,Purchase,80,000 MGP
Fist Bump,Other,Recruit a Friend Campaign reward
Most Gentlemanly,Quest,Her Last Vow
Embrace,Quest,The Ties That Bind
Huzzah,Event,The Rising (2014)
Huzzah,Premium,Mog Station
Bomb Dance,Event,Moonfire Faire (2014)
Bomb Dance,Premium,Mog Station
Manderville Dance,Quest,The Hammer
Ball Dance,Quest,Help Me, Lord Of The Dance
Harvest Dance,Quest,Saw That One Coming
Step Dance,Quest,Good For What Ales You
Throw,Quest,Toss Fit Workout
Imperial Salute,Quest,Acting The Part
